Index,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
151,Curaçao,"12,327",,126 ,,"12,166",,35,4,"74,822",765,"131,609","798,831","164,752 "
152,Martinique,"12,264",,98 ,,98,,"12,068",1,"32,706",261,"195,568","521,544","374,979 "
153,Hong Kong,"11,912",+2,211 ,,"11,624",+3,77,1,"1,576",28,"16,710,131","2,211,314","7,556,651 "
154,Djibouti,"11,600",,155 ,,"11,438",,7,,"11,576",155,"171,459","171,105","1,002,071 "
155,Lesotho,"11,239",,329 ,,"6,447",,"4,463",,"5,206",152,"109,260","50,609","2,158,910 "
156,Aruba,"11,126",,107 ,,"10,987",,32,14,"103,777",998,"175,229","1,634,431","107,211 "
157,South Sudan,"10,812",,115 ,,"10,514",,183,,955,10,"174,045","15,372","11,322,354 "
158,Timor-Leste,"8,979",+67,21 ,+1,"8,146",+122,812,,"6,686",16,"92,846","69,133","1,343,008 "
159,Equatorial Guinea,"8,712",,120 ,,"8,506",,86,1,"6,017",83,"149,330","103,136","1,447,890 "
160,Benin,"8,170",,104 ,,"8,000",,66,5,657,8,"604,310","48,605","12,433,158 "
161,Nicaragua,"7,920",,189 ,,"4,225",,"3,506",,"1,182",28,,,"6,701,800 "
162,CAR,"7,139",,98 ,,"6,859",,182,2,"1,453",20,"54,814","11,159","4,911,944 "
163,Yemen,"6,906",+1,"1,358 ",+1,"4,019",+14,"1,529",23,227,45,"104,360","3,425","30,467,956 "
164,Iceland,"6,637",,30 ,,"6,595",,12,1,"19,326",87,"749,087","2,181,275","343,417 "
165,Gambia,"6,065",,181 ,,"5,849",,35,3,"2,443",73,"82,460","33,211","2,482,904 "
166,Eritrea,"5,720",,21 ,,"5,222",,477,,"1,591",6,"23,693","6,591","3,594,502 "
167,Niger,"5,478",,193 ,,"5,200",,85,2,219,8,"116,868","4,664","25,059,452 "
168,Burundi,"5,348",,8 ,,773,,"4,567",,437,0.7,"345,742","28,256","12,236,107 "
169,Saint Lucia,"5,262",,84 ,,"5,099",,79,,"28,528",455,"52,773","286,109","184,451 "
170,Sierra Leone,"5,253",,87 ,,"3,399",,"1,767",,646,11,"153,646","18,886","8,135,599 "
172,Chad,"4,951",,174 ,,"4,769",,8,,293,10,"125,409","7,427","16,885,613 "
173,Gibraltar,"4,339",+1,94 ,,"4,217",,28,,"128,826","2,791","275,931","8,192,482","33,681 "
174,Channel Islands,"4,218",,86 ,,"3,994",,138,,"24,043",490,"563,229","3,210,471","175,435 "
175,Barbados,"4,066",,47 ,,"3,992",,27,,"14,132",163,"182,547","634,458","287,721 "
176,Comoros,"3,912",,146 ,,"3,745",,21,,"4,407",164,,,"887,709 "
177,Guinea-Bissau,"3,845",,69 ,,"3,572",,204,4,"1,910",34,"72,332","35,925","2,013,438 "
178,Liberia,"3,374",,112 ,,"2,222",,"1,040",2,652,22,"115,873","22,396","5,173,808 "
179,Fiji,"3,329",+266,15 ,+1,736,+61,"2,578",2,"3,687",17,"187,914","208,141","902,819 "
180,Liechtenstein,"3,032",,59 ,,"2,957",,16,3,"79,299","1,543","49,126","1,284,844","38,235 "
